Company,Value
AMT,-0.06049500999319424
CHTR,-0.03901331443725797
AEP,-0.033512546968739176
AEE,-0.027486675500526303
AES,-0.027138692764468786
AAL,-0.02562972170026967
AWK,-0.022661649305926623
CPB,-0.02255653698190474
LNT,-0.022304710141530792
CCL,-0.02189039008586402
ATO,-0.02154701390700775
CF,-0.016165020719152157
ARE,-0.014604489118084096
AON,-0.013378768121651508
ANTM,-0.012678833841387016
ADM,-0.011731127325646629
CNP,-0.011273287024006873
AVB,-0.006621176836506093
CNC,-0.005708278072934725
AZO,-0.005510772303133127
CB,-0.005383412917763231
AIZ,-0.004944997357727354
AIG,-0.00486984894162279
ALLE,-0.004277453249310836
CERN,-0.0033748918978113718
