,x
1,01-09-2010
2,16-07-2010
3,07-07-2010
4,29-06-2010
5,10-06-2010
6,04-06-2010
7,27-05-2010
8,20-05-2010
9,10-05-2010
10,06-05-2010
11,04-02-2010
12,15-07-2009
13,02-07-2009
14,22-06-2009
15,18-05-2009
16,04-05-2009
17,20-04-2009
18,09-04-2009
19,30-03-2009
20,23-03-2009
21,17-03-2009
22,12-03-2009
23,10-03-2009
24,05-03-2009
25,02-03-2009
26,24-02-2009
27,23-02-2009
28,17-02-2009
29,10-02-2009
30,29-01-2009
31,28-01-2009
32,21-01-2009
33,20-01-2009
34,14-01-2009
35,07-01-2009
36,02-01-2009
37,16-12-2008
38,08-12-2008
39,05-12-2008
40,04-12-2008
41,02-12-2008
42,01-12-2008
43,26-11-2008
44,24-11-2008
45,21-11-2008
46,20-11-2008
47,19-11-2008
48,14-11-2008
49,13-11-2008
50,12-11-2008
51,06-11-2008
52,05-11-2008
53,04-11-2008
54,28-10-2008
55,27-10-2008
56,24-10-2008
57,22-10-2008
58,21-10-2008
59,20-10-2008
60,16-10-2008
61,15-10-2008
62,13-10-2008
63,09-10-2008
64,07-10-2008
65,06-10-2008
66,02-10-2008
67,30-09-2008
68,29-09-2008
69,22-09-2008
70,19-09-2008
71,18-09-2008
72,17-09-2008
73,15-09-2008
74,09-09-2008
75,04-09-2008
76,26-06-2008
77,06-06-2008
78,01-04-2008
79,18-03-2008
80,11-03-2008
81,05-02-2008
82,17-01-2008
83,07-11-2007
84,09-08-2007
85,27-02-2007
86,24-03-2003
87,17-03-2003
88,13-03-2003
89,24-01-2003
90,02-01-2003
91,15-10-2002
92,11-10-2002
93,10-10-2002
94,01-10-2002
95,27-09-2002
96,19-09-2002
97,03-09-2002
98,14-08-2002
99,08-08-2002
100,06-08-2002
101,05-08-2002
102,01-08-2002
103,29-07-2002
104,24-07-2002
105,22-07-2002
106,19-07-2002
107,10-07-2002
108,05-07-2002
109,08-05-2002
110,24-09-2001
111,20-09-2001
112,17-09-2001
113,18-04-2001
114,05-04-2001
115,03-04-2001
116,12-03-2001
117,03-01-2001
118,20-12-2000
119,05-12-2000
120,19-10-2000
121,13-10-2000
122,30-05-2000
123,25-04-2000
124,17-04-2000
125,14-04-2000
126,16-03-2000
127,18-02-2000
128,04-01-2000
129,28-10-1999
130,15-10-1998
131,01-10-1998
132,30-09-1998
133,23-09-1998
134,11-09-1998
135,08-09-1998
136,01-09-1998
137,31-08-1998
138,27-08-1998
139,04-08-1998
140,09-01-1998
141,28-10-1997
142,27-10-1997
143,02-09-1997
144,08-03-1996
145,15-11-1991
146,21-08-1991
147,17-01-1991
148,27-08-1990
149,23-08-1990
150,06-08-1990
151,13-10-1989
152,31-05-1988
153,14-04-1988
154,08-01-1988
155,04-01-1988
156,03-12-1987
157,30-11-1987
158,09-11-1987
159,29-10-1987
160,26-10-1987
161,22-10-1987
162,21-10-1987
163,20-10-1987
164,19-10-1987
165,16-10-1987
166,14-10-1987
167,11-09-1986
168,07-07-1986
169,30-11-1982
170,03-11-1982
171,25-10-1982
172,06-10-1982
173,20-08-1982
174,17-08-1982
175,24-08-1981
176,22-04-1980
177,24-03-1980
178,17-03-1980
179,09-10-1979
180,01-11-1978
181,27-01-1975
182,18-11-1974
183,29-10-1974
184,23-10-1974
185,09-10-1974
186,07-10-1974
187,19-09-1974
188,05-09-1974
189,30-08-1974
190,12-07-1974
191,08-07-1974
192,26-12-1973
193,26-11-1973
194,19-11-1973
195,24-05-1973
196,16-08-1971
197,27-05-1970
198,26-11-1963
199,24-10-1962
200,28-06-1962
201,04-06-1962
202,29-05-1962
203,28-05-1962
204,18-04-1961
205,17-04-1961
206,23-10-1957
207,21-10-1957
208,10-10-1955
209,26-09-1955
210,06-07-1955
211,06-06-1955
212,09-02-1953
213,04-12-1950
214,28-11-1950
215,29-06-1950
216,26-06-1950
